,time,energy_cashflow,energy_generation_costs,heat,power,simulation,soc,total_costs,unit
51,2013-01-22 01:00:00.000000,,295863.2051611094,0.0,2809.505507503573,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,OCGT_01_3
95,2013-01-22 01:00:00.000000,,29.440514999999998,0.0,1962.701,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,wind_onshore_00_2
93,2013-01-22 01:00:00.000000,,29.440514999999998,0.0,1962.701,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,wind_onshore_00_1
53,2013-01-22 01:00:00.000000,,862233.0671776625,0.0,8882.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,OCGT_01_4
91,2013-01-22 01:00:00.000000,,29.440514999999998,0.0,1962.701,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,wind_onshore_00_0
89,2013-01-22 01:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_09_2
55,2013-01-22 01:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_01_0
87,2013-01-22 01:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_09_1
85,2013-01-22 01:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_09_0
57,2013-01-22 01:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_01_1
83,2013-01-22 01:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_07_1
81,2013-01-22 01:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_07_0
59,2013-01-22 01:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_01_2
79,2013-01-22 01:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_06_3
