name,bus0,bus1,voltage,i_nom,circuits,s_nom,r,x,b,length
merged_way/24462486-1-380+2,way/24462426-380,DE70-380,380,2.58,2,3396.205,0.086977,0.713209,5.03E-05,5798.45
merged_way/24479533-380+3,DE76-380,way/59925390-380,380,2.58,2,3396.205,0.125878,1.032204,7.28E-05,8391.9
merged_way/24493930-380+2,way/266684854-380,way/829116805-380,380,2.58,2,3396.205,0.137585,1.1282,7.95E-05,9172.36
merged_way/24523546-380+1,DE188-380,way/25786404-380,380,2.58,2,3396.205,0.157566,1.292039,9.11E-05,10504.38
merged_way/24532884-1-380+6,way/23380800-380,way/24479984-380,380,2.58,1,1698.103,0.413161,3.387922,5.97E-05,13772.04
merged_way/24833555-380+5,way/24839976-380,way/22761839-380,380,2.58,2,3396.205,0.332513,2.726607,0.00019221,22167.54
merged_way/24841695-220+1,way/24839976-220,way/188276460-220,220,1.29,2,983.112,0.083312,0.417951,2.18E-05,2777.08
merged_way/24841789-220+2,way/24839976-220,DE131-220,220,1.29,2,983.112,0.113004,0.566903,2.96E-05,3766.8
merged_way/24846754-380+7,way/952346322-380,way/83423799-380,380,2.58,2,3396.205,0.328275,2.691859,0.00018976,21885.03
merged_way/24864330-1-380+3,way/152261133-380,way/259561755-380,380,2.58,1,1698.103,0.971785,7.968636,0.00014044,32392.83
merged_way/24864330-2-220+6,way/152261133-220,way/152924498-220,220,1.29,1,491.556,3.120314,15.653577,0.00020422,52005.24
merged_way/249097291-1-220+5,way/42861703-220,way/42507488-220,220,1.29,1,491.556,1.670519,8.380436,0.00010934,27841.98
merged_way/25028229-1-380+3,DE87-380,way/113546939-380,380,2.58,2,3396.205,0.124573,1.021498,7.20E-05,8304.86
merged_way/25028229-2-220+3,DE87-220,way/113546939-220,220,1.29,2,983.112,0.248606,1.247172,6.51E-05,8286.86
merged_way/25039686-1-380+2,DE80-380,way/29077623-380,380,2.58,2,3396.205,0.273696,2.244305,0.00015821,18246.38
merged_way/25088811-220+1,way/22944791-220,DE78-220,220,1.29,2,983.112,0.161576,0.81057,4.23E-05,5385.85
merged_way/25090745-380+1,way/1303270458-380,way/23022100-380,380,2.58,2,3396.205,0.052858,0.433437,3.06E-05,3523.88
merged_way/25314891-2-220+1,DE89-220,way/113546939-220,220,1.29,2,983.112,0.111993,0.56183,2.93E-05,3733.09
merged_way/25331184-380+4,way/266684854-380,way/1072574879-380,380,2.58,2,3396.205,0.87787,7.198531,0.00050746,58524.64
merged_way/25393442-1-220+4,way/23084417-220,DE62-220,220,1.29,2,983.112,0.696854,3.495882,0.00018244,23228.45
merged_way/25788425-1-380+1,way/23022100-380,DE66-380,380,2.58,1,1698.103,0.430376,3.529084,6.22E-05,14345.87
merged_way/25788425-2-220+2,way/23022100-220,DE66-220,220,1.29,1,491.556,0.85957,4.312177,5.63E-05,14326.17
merged_way/259468195-1-220+2,way/1094015892-220,way/517421342-220,220,1.29,1,491.556,3.11833,15.64362,0.00020409,51972.16
merged_way/259468200-2-220+1,way/59707532-220,DE18-220,220,1.29,1,491.556,0.126635,0.635288,8.29E-06,2110.59
merged_way/26043880-2-220+5,DE98-220,way/68549340-220,220,1.29,1,491.556,0.408152,2.047562,2.67E-05,6802.53
merged_way/26281485-380+2,way/37721677-380,way/26260052-380,380,2.58,2,3396.205,0.113169,0.927989,6.54E-05,7544.63
merged_way/26403582-1-380+2,way/26260052-380,way/26403575-380,380,2.58,2,3396.205,0.193467,1.586426,0.00011183,12897.77
merged_way/26565859-380+1,way/870598507-380,way/1024536785-380,380,2.58,2,3396.205,1.256863,10.306277,0.00072653,83790.87
merged_way/26971631-220+1,AT11-220,way/68532663-220,220,1.29,2,983.112,0.935513,4.693157,0.00024492,31183.77
merged_way/26982408-1-220+1,way/24799890-220,way/1040551074-220,220,1.29,2,983.112,0.265808,1.333471,6.96E-05,8860.27
merged_way/27044875-220+1,DE122-220,way/22761839-220,220,1.29,2,983.112,0.328645,1.648703,8.60E-05,10954.84
merged_way/27092940-1-220+1,DE118-220,DE122-220,220,1.29,2,983.112,0.2276,1.141794,5.96E-05,7586.67
