datetime,demand_CRM_pos,demand_CRM_neg,demand_EOM_north,demand_EOM_east,demand_EOM_west,demand_EOM_south
2019-01-02 14:45:00,2756,2827,10180.48,10180.48,24178.64,19088.399999999998
2019-01-02 15:00:00,2756,2827,10279.04,10279.04,24412.72,19273.2
2019-01-02 15:15:00,2756,2827,10245.12,10245.12,24332.16,19209.6
2019-01-02 15:30:00,2756,2827,10216.960000000001,10216.960000000001,24265.28,19156.8
2019-01-02 15:45:00,2756,2827,10199.04,10199.04,24222.72,19123.2
2019-01-02 16:00:00,2756,2827,10289.28,10289.28,24437.040000000005,19292.4
2019-01-02 16:15:00,2756,2827,10306.56,10306.56,24478.08,19324.8
2019-01-02 16:30:00,2756,2827,10467.2,10467.2,24859.6,19626.0
2019-01-02 16:45:00,2756,2827,10656.64,10656.64,25309.52,19981.2
2019-01-02 17:00:00,2756,2827,10854.4,10854.4,25779.2,20352.0
2019-01-02 17:15:00,2756,2827,10962.56,10962.56,26036.08,20554.8
2019-01-02 17:30:00,2756,2827,10981.76,10981.76,26081.68,20590.8
2019-01-02 17:45:00,2756,2827,11002.880000000001,11002.880000000001,26131.84,20630.399999999998
2019-01-02 18:00:00,2756,2827,10947.2,10947.2,25999.6,20526.0
2019-01-02 18:15:00,2756,2827,10898.56,10898.56,25884.08,20434.8
2019-01-02 18:30:00,2756,2827,10887.68,10887.68,25858.24,20414.399999999998
2019-01-02 18:45:00,2756,2827,10860.16,10860.16,25792.88,20362.8
2019-01-02 19:00:00,2756,2827,10827.52,10827.52,25715.36,20301.6
2019-01-02 19:15:00,2756,2827,10680.960000000001,10680.960000000001,25367.28,20026.8
2019-01-02 19:30:00,2756,2827,10558.72,10558.72,25076.96,19797.6
2019-01-02 19:45:00,2756,2827,10453.76,10453.76,24827.68,19600.8
2019-01-02 20:00:00,2756,2827,10270.08,10270.08,24391.44,19256.399999999998
2019-01-02 20:15:00,2756,2827,10109.44,10109.44,24009.920000000002,18955.2
2019-01-02 20:30:00,2756,2827,9936.0,9936.0,23598.0,18630.0
2019-01-02 20:45:00,2756,2827,9813.12,9813.12,23306.16,18399.6
2019-01-02 21:00:00,2756,2827,9662.08,9662.08,22947.44,18116.399999999998
2019-01-02 21:15:00,2756,2827,9566.72,9566.72,22720.96,17937.6
2019-01-02 21:30:00,2756,2827,9473.28,9473.28,22499.04,17762.399999999998
2019-01-02 21:45:00,2756,2827,9405.44,9405.44,22337.920000000002,17635.2
2019-01-02 22:00:00,2756,2827,9426.56,9426.56,22388.08,17674.8
2019-01-02 22:15:00,2756,2827,9308.16,9308.16,22106.88,17452.8
2019-01-02 22:30:00,2756,2827,9150.72,9150.72,21732.96,17157.6
2019-01-02 22:45:00,2756,2827,8999.68,8999.68,21374.24,16874.399999999998
2019-01-02 23:00:00,2756,2827,8888.32,8888.32,21109.76,16665.6
2019-01-02 23:15:00,2756,2827,8710.4,8710.4,20687.2,16332.0
2019-01-02 23:30:00,2756,2827,8537.6,8537.6,20276.8,16008.0
2019-01-02 23:45:00,2756,2827,8400.0,8400.0,19950.0,15750.0
2019-01-03 00:00:00,2756,2827,8252.8,8252.8,19600.4,15474.0
2019-01-03 00:15:00,2756,2827,8224.0,8224.0,19532.0,15420.0
2019-01-03 00:30:00,2756,2827,8151.680000000001,8151.680000000001,19360.24,15284.400000000001
2019-01-03 00:45:00,2756,2827,8022.400000000001,8022.400000000001,19053.2,15042.0
2019-01-03 01:00:00,2756,2827,8040.320000000001,8040.320000000001,19095.760000000002,15075.599999999999
2019-01-03 01:15:00,2756,2827,8010.88,8010.88,19025.84,15020.4
2019-01-03 01:30:00,2756,2827,8008.320000000001,8008.320000000001,19019.760000000002,15015.599999999999
2019-01-03 01:45:00,2756,2827,7967.360000000001,7967.360000000001,18922.48,14938.8
2019-01-03 02:00:00,2756,2827,7959.680000000001,7959.680000000001,18904.24,14924.400000000001
2019-01-03 02:15:00,2756,2827,7950.08,7950.08,18881.44,14906.4
2019-01-03 02:30:00,2756,2827,7972.4800000000005,7972.4800000000005,18934.64,14948.4
2019-01-03 02:45:00,2756,2827,7962.88,7962.88,18911.84,14930.4
2019-01-03 03:00:00,2756,2827,7958.400000000001,7958.400000000001,18901.2,14922.0
2019-01-03 03:15:00,2756,2827,7921.28,7921.28,18813.04,14852.4
2019-01-03 03:30:00,2756,2827,7933.4400000000005,7933.4400000000005,18841.920000000002,14875.199999999999
2019-01-03 03:45:00,2756,2827,7967.360000000001,7967.360000000001,18922.48,14938.8
2019-01-03 04:00:00,2756,2827,7987.2,7987.2,18969.6,14976.0
2019-01-03 04:15:00,2756,2827,8026.24,8026.24,19062.32,15049.199999999999
2019-01-03 04:30:00,2756,2827,8092.8,8092.8,19220.4,15174.0
2019-01-03 04:45:00,2756,2827,8170.24,8170.24,19404.32,15319.199999999999
2019-01-03 05:00:00,2756,2827,8335.36,8335.36,19796.48,15628.8
2019-01-03 05:15:00,2756,2827,8386.56,8386.56,19918.08,15724.8
2019-01-03 05:30:00,2756,2827,8524.8,8524.8,20246.4,15984.0
2019-01-03 05:45:00,2756,2827,8704.0,8704.0,20672.0,16320.0
2019-01-03 06:00:00,2756,2827,8943.36,8943.36,21240.48,16768.8
2019-01-03 06:15:00,2756,2827,9152.0,9152.0,21736.0,17160.0
2019-01-03 06:30:00,2756,2827,9368.960000000001,9368.960000000001,22251.28,17566.8
