demand_north,demand_south
7317.2,7317.2
7315.2,7315.2
7302.4,7302.4
7305.6,7305.6
7288.4,7288.4
7278.8,7278.8
7218.8,7218.8
7188.4,7188.4
7152.4,7152.4
7155.6,7155.6
7135.6,7135.6
7134.4,7134.4
7237.2,7237.2
7404.0,7404.0
7474.4,7474.4
7527.6,7527.6
7518.8,7518.8
7486.4,7486.4
7438.4,7438.4
7433.6,7433.6
7393.2,7393.2
7344.0,7344.0
7263.2,7263.2
7241.6,7241.6
7172.8,7172.8
7010.4,7010.4
6887.6,6887.6
6797.2,6797.2
6728.8,6728.8
6644.8,6644.8
6547.2,6547.2
6475.6,6475.6
6384.0,6384.0
6359.2,6359.2
6238.8,6238.8
6164.4,6164.4
6075.6,6075.6
5942.8,5942.8
5828.4,5828.4
5758.8,5758.8
5659.2,5659.2
5601.2,5601.2
5549.6,5549.6
5502.4,5502.4
5462.8,5462.8
5370.4,5370.4
5346.0,5346.0
5333.6,5333.6
5369.6,5369.6
5313.6,5313.6
5288.4,5288.4
5288.4,5288.4
5293.6,5293.6
5307.6,5307.6
5300.4,5300.4
5329.2,5329.2
5327.2,5327.2
5369.6,5369.6
5386.4,5386.4
5444.0,5444.0
5500.4,5500.4
5643.6,5643.6
5706.8,5706.8
5810.0,5810.0
5922.0,5922.0
6197.2,6197.2
6374.4,6374.4
6518.8,6518.8
6706.0,6706.0
6940.4,6940.4
7055.2,7055.2
7169.6,7169.6
7265.2,7265.2
7333.2,7333.2
7351.6,7351.6
7356.8,7356.8
7369.2,7369.2
7329.6,7329.6
7321.2,7321.2
7375.2,7375.2
7392.0,7392.0
7444.4,7444.4
7448.4,7448.4
7439.6,7439.6
7464.0,7464.0
7482.8,7482.8
7502.4,7502.4
7500.8,7500.8
7488.4,7488.4
7450.4,7450.4
