datetime,demand_EOM,demand_CRM_pos,demand_CRM_neg
2/13/2021 5:30,63632,2898,2708
2/13/2021 5:45,64824,2898,2708
2/13/2021 6:00,66364,2898,2708
2/13/2021 6:15,67388,2898,2708
2/13/2021 6:30,68312,2898,2708
2/13/2021 6:45,69012,2898,2708
2/13/2021 7:00,69628,2898,2708
2/13/2021 7:15,69856,2898,2708
2/13/2021 7:30,70056,2898,2708
2/13/2021 7:45,70092,2898,2708
2/13/2021 8:00,69680,2898,2708
2/13/2021 8:15,70144,2898,2708
2/13/2021 8:30,70580,2898,2708
2/13/2021 8:45,70472,2898,2708
2/13/2021 9:00,70960,2898,2708
2/13/2021 9:15,71348,2898,2708
2/13/2021 9:30,71664,2898,2708
2/13/2021 9:45,71376,2898,2708
2/13/2021 10:00,71748,2898,2708
2/13/2021 10:15,71988,2898,2708
2/13/2021 10:30,72244,2898,2708
2/13/2021 10:45,72416,2898,2708
2/13/2021 11:00,71916,2898,2708
2/13/2021 11:15,71728,2898,2708
2/13/2021 11:30,71588,2898,2708
2/13/2021 11:45,71592,2898,2708
2/13/2021 12:00,71004,2898,2708
2/13/2021 12:15,70372,2898,2708
2/13/2021 12:30,69532,2898,2708
2/13/2021 12:45,69000,2898,2708
2/13/2021 13:00,68908,2898,2708
2/13/2021 13:15,68776,2898,2708
2/13/2021 13:30,68644,2898,2708
2/13/2021 13:45,67724,2898,2708
2/13/2021 14:00,67676,2898,2708
2/13/2021 14:15,67036,2898,2708
2/13/2021 14:30,66644,2898,2708
2/13/2021 14:45,66124,2898,2708
2/13/2021 15:00,66400,2898,2708
2/13/2021 15:15,66228,2898,2708
2/13/2021 15:30,65940,2898,2708
2/13/2021 15:45,65764,2898,2708
2/13/2021 16:00,65564,2898,2708
2/13/2021 16:15,65820,2898,2708
2/13/2021 16:30,65528,2898,2708
2/13/2021 16:45,65700,2898,2708
2/13/2021 17:00,66240,2898,2708
2/13/2021 17:15,66368,2898,2708
2/13/2021 17:30,66376,2898,2708
2/13/2021 17:45,66228,2898,2708
2/13/2021 18:00,66484,2898,2708
2/13/2021 18:15,66612,2898,2708
2/13/2021 18:30,66560,2898,2708
2/13/2021 18:45,66372,2898,2708
2/13/2021 19:00,65868,2898,2708
2/13/2021 19:15,65620,2898,2708
2/13/2021 19:30,65292,2898,2708
2/13/2021 19:45,64824,2898,2708
2/13/2021 20:00,64020,2898,2708
2/13/2021 20:15,63112,2898,2708
2/13/2021 20:30,62324,2898,2708
2/13/2021 20:45,61416,2898,2708
2/13/2021 21:00,61012,2898,2708
2/13/2021 21:15,60116,2898,2708
2/13/2021 21:30,59276,2898,2708
2/13/2021 21:45,58220,2898,2708
2/13/2021 22:00,57192,2898,2708
